tissue,dye1,dye2,Nb of landmarks (dye 1),Nb of tiles (dye 2),top-1-accuracy,top-5-accuracy,time (h:m:s),Time to get patches (dye2),Features extraction time (dye2),Comparison time
lung-lobes_4,CC10,PRO-SPC,89,1901,0.73,0.876,0:02:19.113907,0:00:12.191826,0:01:55.837287,0:00:01.441473
lung-lobes_4,PRO-SPC,CC10,89,1763,0.539,0.674,0:02:18.674129,0:00:16.314398,0:01:50.934941,0:00:01.437162
lung-lobes_4,CC10,CD31,89,1759,0.674,0.899,0:02:24.071493,0:00:13.731115,0:01:57.132718,0:00:01.514839
lung-lobes_4,CD31,CC10,89,1763,0.416,0.618,0:02:31.130287,0:00:19.096689,0:01:59.098202,0:00:01.467139
lung-lobes_4,CC10,KI67,89,1745,0.562,0.753,0:02:23.622485,0:00:14.851291,0:01:56.421121,0:00:01.440475
lung-lobes_4,KI67,CC10,89,1763,0.371,0.674,0:02:30.847131,0:00:19.660955,0:01:58.786766,0:00:01.538001
lung-lobes_4,PRO-SPC,CD31,89,1759,0.865,0.944,0:02:26.360650,0:00:15.502060,0:01:58.787836,0:00:01.494158
lung-lobes_4,CD31,PRO-SPC,89,1901,0.742,0.854,0:02:42.501908,0:00:14.508000,0:02:15.374735,0:00:01.647244
lung-lobes_4,PRO-SPC,KI67,89,1745,0.506,0.719,0:02:23.520513,0:00:14.645683,0:01:56.765301,0:00:01.475796
lung-lobes_4,KI67,PRO-SPC,89,1901,0.517,0.73,0:02:37.254505,0:00:14.558918,0:02:07.644526,0:00:01.633326
lung-lobes_4,CD31,KI67,89,1745,0.472,0.663,0:02:25.357506,0:00:15.204180,0:01:57.393643,0:00:01.475786
lung-lobes_4,KI67,CD31,89,1759,0.685,0.876,0:02:28.528367,0:00:15.518911,0:01:59.367411,0:00:01.461145
COAD_13,S7,S5,93,2277,0.817,0.925,0:03:12.610449,0:00:24.323635,0:02:34.598482,0:00:01.972311
COAD_13,S5,S7,93,2190,0.914,0.968,0:03:14.399444,0:00:30.804700,0:02:29.640974,0:00:01.887429
COAD_13,S7,S2,93,2299,0.71,0.903,0:03:19.388254,0:00:29.676999,0:02:36.231985,0:00:01.972448
COAD_13,S2,S7,93,2190,0.828,0.957,0:03:13.608535,0:00:30.512968,0:02:29.134467,0:00:01.878785
COAD_13,S5,S2,93,2299,0.946,0.989,0:03:18.628826,0:00:29.555633,0:02:35.751009,0:00:01.979029
COAD_13,S2,S5,93,2277,0.957,0.968,0:03:12.400703,0:00:24.066633,0:02:34.746955,0:00:01.938757
lung-lesion_1,KI67,CC10,78,2997,0.385,0.5,0:03:50.895207,0:00:20.391593,0:03:18.358964,0:00:02.399383
lung-lesion_1,CC10,KI67,78,2934,0.321,0.513,0:03:40.354411,0:00:13.847455,0:03:14.572818,0:00:02.319244
lung-lesion_1,KI67,HE,78,2930,0.205,0.397,0:03:43.340948,0:00:15.759883,0:03:15.815324,0:00:02.295218
lung-lesion_1,HE,KI67,78,2934,0.179,0.269,0:03:41.394750,0:00:13.806203,0:03:14.872894,0:00:02.383102
lung-lesion_1,KI67,PRO-SPC,78,2930,0.269,0.41,0:03:41.984199,0:00:16.319046,0:03:13.931277,0:00:02.304827
lung-lesion_1,PRO-SPC,KI67,78,2934,0.359,0.474,0:03:40.637580,0:00:13.642275,0:03:15.097819,0:00:02.301758
lung-lesion_1,CC10,HE,78,2930,0.41,0.564,0:03:41.597698,0:00:14.966753,0:03:13.743009,0:00:02.326602
lung-lesion_1,HE,CC10,78,2997,0.333,0.513,0:03:50.217139,0:00:19.842428,0:03:18.415971,0:00:02.356272
lung-lesion_1,CC10,PRO-SPC,78,2930,0.551,0.718,0:03:42.107403,0:00:15.381681,0:03:14.924993,0:00:02.346794
lung-lesion_1,PRO-SPC,CC10,78,2997,0.526,0.692,0:03:50.890816,0:00:20.187949,0:03:18.770165,0:00:02.419287
lung-lesion_1,HE,PRO-SPC,78,2930,0.308,0.538,0:03:42.002293,0:00:15.517617,0:03:14.135516,0:00:02.317306
lung-lesion_1,PRO-SPC,HE,78,2930,0.359,0.538,0:03:40.078395,0:00:14.810727,0:03:13.340253,0:00:02.338300
breast_2,HE,HER2,50,3095,0.54,0.76,0:04:26.882067,0:00:43.577971,0:03:30.407312,0:00:02.135236
breast_2,HER2,HE,50,3228,0.2,0.38,0:04:29.677422,0:00:40.215231,0:03:36.974085,0:00:02.205112
lung-lobes_3,KI67,CD31,80,2131,0.425,0.65,0:02:48.467582,0:00:14.146626,0:02:21.490214,0:00:01.764055
lung-lobes_3,CD31,KI67,80,2061,0.55,0.738,0:02:50.920175,0:00:13.427554,0:02:23.138553,0:00:01.678755
lung-lobes_3,KI67,CC10,80,1949,0.212,0.287,0:02:41.418737,0:00:16.434933,0:02:12.466537,0:00:01.578558
lung-lobes_3,CC10,KI67,80,2061,0.412,0.713,0:02:30.483394,0:00:12.395282,0:02:07.158919,0:00:01.707538
lung-lobes_3,KI67,PRO-SPC,80,2102,0.475,0.65,0:02:45.144407,0:00:13.119095,0:02:19.450487,0:00:01.720532
lung-lobes_3,PRO-SPC,KI67,80,2061,0.5,0.7,0:02:44.909815,0:00:14.995924,0:02:17.042221,0:00:01.809185
lung-lobes_3,CD31,CC10,80,1949,0.338,0.575,0:02:42.412798,0:00:16.255048,0:02:11.550993,0:00:01.619819
lung-lobes_3,CC10,CD31,80,2131,0.525,0.775,0:02:47.499575,0:00:14.575407,0:02:20.809232,0:00:01.788415
lung-lobes_3,CD31,PRO-SPC,80,2102,0.662,0.875,0:02:48.346358,0:00:13.298883,0:02:22.196404,0:00:01.716002
lung-lobes_3,PRO-SPC,CD31,80,2131,0.675,0.825,0:02:47.245580,0:00:13.905983,0:02:21.765601,0:00:01.733454
lung-lobes_3,CC10,PRO-SPC,80,2102,0.637,0.825,0:02:45.044954,0:00:13.153264,0:02:20.117308,0:00:01.708185
lung-lobes_3,PRO-SPC,CC10,80,1949,0.325,0.412,0:02:37.913659,0:00:15.828768,0:02:10.560591,0:00:01.565297
COAD_09,S6,S1,72,2103,0.472,0.542,0:03:01.467432,0:00:27.170858,0:02:22.468572,0:00:01.646949
COAD_09,S1,S6,72,2246,0.458,0.528,0:03:13.293684,0:00:28.906961,0:02:32.657418,0:00:01.746502
COAD_09,S6,S5,72,2840,0.597,0.722,0:03:56.374851,0:00:31.795650,0:03:12.241677,0:00:02.188112
COAD_09,S5,S6,72,2246,0.542,0.681,0:03:13.044668,0:00:29.039370,0:02:31.902536,0:00:01.787585
COAD_09,S6,S2,72,2635,0.639,0.819,0:03:38.432032,0:00:26.670065,0:02:59.371313,0:00:02.089537
COAD_09,S2,S6,72,2246,0.569,0.694,0:03:14.652950,0:00:29.289054,0:02:34.327234,0:00:01.794251
COAD_09,S1,S5,72,2840,0.667,0.889,0:03:56.871662,0:00:31.834947,0:03:12.717833,0:00:02.178899
COAD_09,S5,S1,72,2103,0.722,0.847,0:03:02.109050,0:00:26.666592,0:02:23.287325,0:00:01.740691
COAD_09,S1,S2,72,2635,0.778,0.903,0:03:10.272206,0:00:26.208505,0:02:31.979426,0:00:02.085098
COAD_09,S2,S1,72,2103,0.722,0.819,0:03:02.404970,0:00:26.901300,0:02:23.541091,0:00:01.626499
COAD_09,S5,S2,72,2635,0.931,0.986,0:03:37.380684,0:00:26.840680,0:02:58.283839,0:00:02.074483
COAD_09,S2,S5,72,2840,0.917,0.972,0:03:57.225702,0:00:31.874837,0:03:11.882787,0:00:02.193740
COAD_07,S7,S5,68,3127,0.691,0.868,0:04:13.559203,0:00:29.476206,0:03:31.090027,0:00:02.350406
COAD_07,S5,S7,68,2959,0.765,0.926,0:04:10.365778,0:00:36.215461,0:03:21.292986,0:00:02.264086
COAD_07,S7,S2,68,3181,0.706,0.853,0:04:21.096089,0:00:32.031973,0:03:36.234240,0:00:02.370834
COAD_07,S2,S7,68,2959,0.721,0.853,0:04:09.096091,0:00:36.067109,0:03:19.906805,0:00:02.255176
COAD_07,S5,S2,68,3181,0.985,1.0,0:04:20.363151,0:00:32.002187,0:03:34.766595,0:00:02.416331
COAD_07,S2,S5,68,3127,0.941,0.985,0:04:14.779894,0:00:29.222348,0:03:31.765291,0:00:02.377681
breast_3,HE,HER2,39,3764,0.077,0.103,0:05:18.154661,0:00:47.761437,0:04:15.697587,0:00:02.741605
breast_3,HER2,HE,39,4600,0.0,0.0,0:06:17.301049,0:00:52.971399,0:05:10.815058,0:00:02.932654
breast_4,HE,HER2,27,2942,0.111,0.148,0:04:10.807335,0:00:40.842576,0:03:19.788980,0:00:01.780663
breast_4,HER2,HE,27,2991,0.0,0.074,0:03:44.220145,0:00:28.432158,0:03:05.167099,0:00:01.926757
COAD_06,S7,S5,101,3688,0.782,0.931,0:05:03.104886,0:00:35.738015,0:04:10.457662,0:00:03.443478
COAD_06,S5,S7,101,3451,0.941,0.99,0:04:53.314288,0:00:41.339197,0:03:55.228523,0:00:02.982762
COAD_06,S7,S2,101,3709,0.792,0.951,0:04:58.886431,0:00:29.341953,0:04:12.557360,0:00:03.129623
COAD_06,S2,S7,101,3451,0.881,0.99,0:04:53.810740,0:00:41.519116,0:03:55.664430,0:00:02.976906
COAD_06,S5,S2,101,3709,0.842,0.941,0:04:57.726624,0:00:29.759850,0:04:10.300557,0:00:03.972747
COAD_06,S2,S5,101,3688,0.743,0.911,0:05:02.496774,0:00:35.857609,0:04:10.006170,0:00:03.209741
COAD_01,S1,S7,61,3816,0.361,0.607,0:05:22.468107,0:00:50.620044,0:04:18.282724,0:00:02.857496
COAD_01,S7,S1,61,2587,0.279,0.672,0:03:49.955353,0:00:41.487044,0:02:54.387282,0:00:01.827650
COAD_01,S1,S6,61,3397,0.541,0.705,0:04:51.891426,0:00:49.846362,0:03:46.694355,0:00:02.743186
COAD_01,S6,S1,61,2587,0.475,0.623,0:03:50.661060,0:00:41.452391,0:02:55.677471,0:00:01.870744
COAD_01,S1,S3,61,3658,0.295,0.557,0:05:00.172677,0:00:39.381867,0:04:06.950676,0:00:03.049782
COAD_01,S3,S1,61,2587,0.213,0.492,0:03:50.305290,0:00:41.965824,0:02:55.457168,0:00:01.888451
COAD_01,S7,S6,61,3397,0.492,0.672,0:04:51.605119,0:00:49.353482,0:03:46.912673,0:00:02.873512
COAD_01,S6,S7,61,3816,0.508,0.623,0:05:25.987884,0:00:50.536898,0:04:20.179639,0:00:03.778151
COAD_01,S7,S3,61,3658,0.787,0.902,0:05:02.691020,0:00:39.496170,0:04:07.529956,0:00:03.449823
COAD_01,S3,S7,61,3816,0.705,0.803,0:05:26.676454,0:00:50.723297,0:04:19.596995,0:00:03.545527
COAD_01,S6,S3,61,3658,0.41,0.623,0:05:04.037826,0:00:39.895845,0:04:08.532003,0:00:03.384995
COAD_01,S3,S6,61,3397,0.377,0.557,0:04:50.800475,0:00:49.442267,0:03:46.935451,0:00:03.191760
gastric_4,CD4,CD68,150,6447,0.053,0.147,0:09:05.128499,0:01:17.030394,0:07:17.504011,0:00:08.091126
gastric_4,CD68,CD4,150,6474,0.067,0.16,0:09:02.066160,0:01:11.062203,0:07:20.260204,0:00:08.312043
COAD_08,S1,S7,68,3473,0.824,0.838,0:04:44.115943,0:00:34.716736,0:03:54.588999,0:00:03.359568
COAD_08,S7,S1,68,3188,0.794,0.912,0:04:34.835497,0:00:44.613046,0:03:35.486668,0:00:03.000913
COAD_08,S1,S6,68,3475,0.75,0.838,0:05:00.395285,0:00:49.831911,0:03:55.976564,0:00:03.308902
COAD_08,S6,S1,68,3188,0.647,0.794,0:04:34.407320,0:00:43.316443,0:03:35.835203,0:00:03.220687
COAD_08,S1,S3,68,3371,0.471,0.676,0:04:48.016802,0:00:44.098290,0:03:48.464453,0:00:03.306125
COAD_08,S3,S1,68,3188,0.485,0.662,0:04:35.079928,0:00:44.409148,0:03:35.878395,0:00:03.038903
COAD_08,S7,S6,68,3475,0.735,0.853,0:05:01.866319,0:00:49.799305,0:03:56.973471,0:00:03.494404
COAD_08,S6,S7,68,3473,0.735,0.882,0:04:06.568373,0:00:34.463152,0:03:16.167918,0:00:03.812466
COAD_08,S7,S3,68,3371,0.456,0.779,0:04:47.380728,0:00:44.526752,0:03:47.890955,0:00:03.487717
COAD_08,S3,S7,68,3473,0.471,0.618,0:04:46.879160,0:00:35.170536,0:03:55.938770,0:00:03.688607
COAD_08,S6,S3,68,3371,0.368,0.603,0:04:48.013731,0:00:44.875692,0:03:46.924789,0:00:03.153211
COAD_08,S3,S6,68,3475,0.294,0.529,0:05:04.228050,0:00:50.763628,0:03:57.991286,0:00:03.354127
gastric_3,CD4,CD68,63,3989,0.111,0.27,0:05:00.410761,0:00:52.373149,0:03:51.144322,0:00:04.566987
gastric_3,CD68,CD4,63,4010,0.0,0.111,0:05:37.810031,0:00:45.264225,0:04:35.614011,0:00:04.306716
gastric_5,EBV,CD4,79,3812,0.759,0.899,0:05:27.016493,0:00:48.588446,0:04:20.095326,0:00:04.519043
gastric_5,CD4,EBV,79,3827,0.772,0.823,0:05:17.897937,0:00:41.030901,0:04:19.543377,0:00:03.962745
gastric_5,EBV,CD68,79,3936,0.0,0.038,0:05:36.959276,0:00:45.532054,0:04:31.376059,0:00:04.685311
gastric_5,CD68,EBV,79,3827,0.025,0.063,0:05:24.331431,0:00:47.026690,0:04:19.341820,0:00:03.908959
gastric_5,CD4,CD68,79,3936,0.013,0.063,0:05:35.007021,0:00:49.069565,0:04:28.120323,0:00:04.164075
gastric_5,CD68,CD4,79,3812,0.013,0.063,0:05:24.393101,0:00:47.524307,0:04:18.789251,0:00:03.790187
COAD_11,S1,S5,70,2757,0.814,0.929,0:03:54.149855,0:00:33.717034,0:03:07.092186,0:00:02.889508
COAD_11,S5,S1,70,2511,0.671,0.743,0:03:37.401355,0:00:32.497424,0:02:50.878095,0:00:02.856639
COAD_11,S1,S2,70,2901,0.443,0.786,0:04:01.675370,0:00:36.679903,0:03:12.425334,0:00:02.788857
COAD_11,S2,S1,70,2511,0.514,0.671,0:03:32.443175,0:00:29.123209,0:02:49.825348,0:00:02.489570
COAD_11,S1,S6,70,2602,0.757,0.9,0:03:45.881767,0:00:34.954829,0:02:57.110275,0:00:02.929399
COAD_11,S6,S1,70,2511,0.814,0.914,0:03:32.416587,0:00:28.489881,0:02:50.407657,0:00:03.183781
COAD_11,S5,S2,70,2901,0.6,0.771,0:04:04.194781,0:00:33.822309,0:03:16.378746,0:00:02.922165
COAD_11,S2,S5,70,2757,0.714,0.843,0:04:00.265517,0:00:38.023617,0:03:08.161648,0:00:02.652885
COAD_11,S5,S6,70,2602,0.614,0.757,0:03:17.868205,0:00:34.424457,0:02:29.196519,0:00:02.945621
COAD_11,S6,S5,70,2757,0.7,0.814,0:03:59.261679,0:00:38.523225,0:03:06.581852,0:00:02.810429
COAD_11,S2,S6,70,2602,0.543,0.686,0:03:44.301757,0:00:33.464733,0:02:57.161295,0:00:02.620563
COAD_11,S6,S2,70,2901,0.6,0.771,0:04:03.263173,0:00:32.461062,0:03:16.695874,0:00:02.907672
mammary-gland_1,HE,NEU,77,979,0.922,0.987,0:01:17.033554,0:00:04.059112,0:01:03.948963,0:00:01.056027
mammary-gland_1,NEU,HE,77,689,0.948,0.987,0:00:57.689999,0:00:07.436242,0:00:41.372281,0:00:00.956020
mammary-gland_1,HE,PR,77,735,0.87,0.974,0:01:04.249386,0:00:06.670921,0:00:49.074084,0:00:00.781953
mammary-gland_1,PR,HE,77,689,0.896,0.974,0:01:02.815240,0:00:07.537811,0:00:46.964276,0:00:00.718567
mammary-gland_1,HE,ER,77,890,0.805,0.935,0:01:15.947606,0:00:04.779850,0:00:59.968158,0:00:00.919416
mammary-gland_1,ER,HE,77,689,0.883,0.935,0:01:02.966539,0:00:07.438201,0:00:47.002347,0:00:00.523546
mammary-gland_1,NEU,PR,77,735,0.805,0.948,0:01:03.610391,0:00:06.941215,0:00:48.353368,0:00:00.676259
mammary-gland_1,PR,NEU,77,979,0.675,0.779,0:01:17.660476,0:00:03.947882,0:01:04.349548,0:00:01.006273
mammary-gland_1,NEU,ER,77,890,0.935,0.961,0:01:11.793529,0:00:04.856263,0:00:57.585964,0:00:01.243837
mammary-gland_1,ER,NEU,77,979,0.818,0.935,0:01:17.044629,0:00:03.755502,0:01:03.623343,0:00:01.006874
mammary-gland_1,PR,ER,77,890,0.636,0.818,0:01:15.684407,0:00:05.808503,0:00:57.873341,0:00:00.896454
mammary-gland_1,ER,PR,77,735,0.779,0.935,0:01:03.743390,0:00:06.776102,0:00:48.346141,0:00:00.737592
lung-lesion_2,KI67,CC10,96,1239,0.438,0.646,0:01:44.194899,0:00:11.218692,0:01:22.188550,0:00:01.294076
lung-lesion_2,CC10,KI67,96,1289,0.396,0.562,0:01:44.067125,0:00:08.266965,0:01:24.879779,0:00:01.590129
lung-lesion_2,KI67,HE,96,1318,0.208,0.396,0:01:48.326222,0:00:08.954066,0:01:27.126338,0:00:01.451300
lung-lesion_2,HE,KI67,96,1289,0.24,0.396,0:01:46.505969,0:00:07.955585,0:01:25.630929,0:00:01.617039
lung-lesion_2,KI67,PRO-SPC,96,1263,0.292,0.542,0:01:44.837706,0:00:09.686883,0:01:24.205940,0:00:01.542266
lung-lesion_2,PRO-SPC,KI67,96,1289,0.396,0.562,0:01:45.284053,0:00:07.690367,0:01:24.999616,0:00:01.418608
lung-lesion_2,CC10,HE,96,1318,0.323,0.615,0:01:47.319467,0:00:08.999048,0:01:27.365835,0:00:01.445550
lung-lesion_2,HE,CC10,96,1239,0.302,0.542,0:01:44.555506,0:00:11.191493,0:01:22.565112,0:00:01.356924
lung-lesion_2,CC10,PRO-SPC,96,1263,0.583,0.729,0:01:44.652142,0:00:09.970369,0:01:23.946919,0:00:01.289967
lung-lesion_2,PRO-SPC,CC10,96,1239,0.521,0.646,0:01:45.040581,0:00:11.060782,0:01:22.706644,0:00:01.792993
lung-lesion_2,HE,PRO-SPC,96,1263,0.333,0.5,0:01:49.942295,0:00:09.690510,0:01:28.864306,0:00:01.871946
lung-lesion_2,PRO-SPC,HE,96,1318,0.292,0.531,0:01:49.266085,0:00:08.582385,0:01:30.576129,0:00:01.743631
COAD_20,S7,S5,83,2560,0.253,0.494,0:03:50.623459,0:00:42.757584,0:02:54.155206,0:00:02.723221
COAD_20,S5,S7,83,2329,0.265,0.422,0:03:27.923739,0:00:34.011761,0:02:39.562955,0:00:02.356096
COAD_20,S7,S2,83,2273,0.072,0.217,0:03:23.462769,0:00:33.318937,0:02:36.055254,0:00:02.718072
COAD_20,S2,S7,83,2329,0.133,0.205,0:03:28.068209,0:00:36.049197,0:02:38.291588,0:00:02.463378
COAD_20,S5,S2,83,2273,0.626,0.879,0:03:21.339496,0:00:31.241520,0:02:34.437708,0:00:02.882774
COAD_20,S2,S5,83,2560,0.53,0.807,0:03:50.475908,0:00:42.540763,0:02:53.776149,0:00:02.815475
COAD_19,S5,S3,124,3443,0.887,0.935,0:04:49.069491,0:00:34.339561,0:03:53.671781,0:00:04.355095
COAD_19,S3,S5,124,3830,0.863,0.919,0:05:25.951223,0:00:44.321221,0:04:20.767074,0:00:04.545023
COAD_19,S5,S8,124,4011,0.911,0.952,0:05:43.650414,0:00:48.958802,0:04:33.077843,0:00:04.958152
COAD_19,S8,S5,124,3830,0.903,0.976,0:05:23.831928,0:00:44.533749,0:04:17.761547,0:00:04.706994
