tissue,dye1,dye2,Nb of landmarks (dye 1),Nb of tiles (dye 2),top-1-accuracy,top-5-accuracy,time (h:m:s),Time to get patches (dye2),Features extraction time (dye2),Comparison time
mice-kidney_1,PAS.129057758,PAS.129057595,131,6824,0.252,0.344,0:01:30.654718,0:00:14.047344,0:01:08.594295,0:00:01.001209
COAD_15,S2,S5,163,11783,0.313,0.552,0:02:44.940243,0:00:35.178641,0:01:57.442223,0:00:01.962025
COAD_12,S5,S6,71,8071,0.62,0.747,0:01:55.227459,0:00:26.159200,0:01:21.335542,0:00:00.968181
COAD_12,S5,S1,71,7765,0.549,0.676,0:01:51.522509,0:00:26.043047,0:01:18.094997,0:00:00.888366
COAD_12,S5,S2,71,8473,0.606,0.747,0:01:57.249116,0:00:24.351871,0:01:25.183379,0:00:00.996036
COAD_12,S6,S1,71,7765,0.634,0.831,0:01:51.557572,0:00:26.185656,0:01:18.121188,0:00:00.865332
COAD_12,S6,S2,71,8473,0.803,0.901,0:01:56.572370,0:00:24.396921,0:01:24.850639,0:00:00.970051
COAD_12,S1,S2,71,8473,0.451,0.69,0:01:56.832992,0:00:24.247751,0:01:25.205519,0:00:00.980346
lung-lobes_4,PRO-SPC,CD31,89,6300,0.629,0.843,0:01:25.130454,0:00:14.921053,0:01:03.044845,0:00:00.797587
lung-lobes_4,PRO-SPC,CC10,89,6525,0.427,0.551,0:01:31.795825,0:00:18.826805,0:01:05.405578,0:00:00.836744
lung-lobes_4,PRO-SPC,KI67,89,6274,0.225,0.281,0:01:22.675540,0:00:14.080817,0:01:01.688647,0:00:00.791796
lung-lobes_4,CD31,CC10,89,6525,0.281,0.483,0:01:31.529080,0:00:18.749074,0:01:05.247078,0:00:00.811949
lung-lobes_4,CD31,KI67,89,6274,0.281,0.483,0:01:23.188702,0:00:14.037357,0:01:01.830511,0:00:00.768111
lung-lobes_4,CC10,KI67,89,6274,0.281,0.461,0:01:22.737454,0:00:14.059220,0:01:01.697615,0:00:00.770190
COAD_13,S5,S7,93,7883,0.516,0.763,0:01:55.488708,0:00:28.640615,0:01:18.937125,0:00:00.989322
COAD_13,S5,S2,93,8334,0.57,0.806,0:02:00.051100,0:00:28.328233,0:01:23.897348,0:00:01.037837
COAD_13,S7,S2,93,8334,0.161,0.333,0:02:00.517747,0:00:28.539422,0:01:23.913925,0:00:01.022867
lung-lesion_1,HE,PRO-SPC,78,11573,0.064,0.115,0:02:15.853775,0:00:15.337774,0:01:53.011261,0:00:01.383636
lung-lesion_1,HE,KI67,78,11580,0.013,0.051,0:02:13.578142,0:00:13.213836,0:01:52.609579,0:00:01.352869
lung-lesion_1,HE,CC10,78,11707,0.064,0.128,0:02:23.707573,0:00:19.377909,0:01:53.156159,0:00:01.405965
lung-lesion_1,PRO-SPC,KI67,78,11580,0.077,0.141,0:02:11.396965,0:00:13.243366,0:01:50.980920,0:00:01.361510
lung-lesion_1,PRO-SPC,CC10,78,11707,0.269,0.397,0:02:18.667425,0:00:19.145005,0:01:52.340821,0:00:01.394193
lung-lesion_1,KI67,CC10,78,11707,0.077,0.192,0:02:19.650059,0:00:19.139088,0:01:53.272498,0:00:01.396909
breast_2,HE,HER2,50,11382,0.16,0.42,0:02:45.482810,0:00:42.146776,0:01:53.661108,0:00:01.167776
lung-lobes_3,PRO-SPC,KI67,80,7345,0.25,0.362,0:01:31.948451,0:00:13.295084,0:01:11.555074,0:00:00.877410
lung-lobes_3,PRO-SPC,CD31,80,7573,0.512,0.7,0:01:35.486958,0:00:14.212501,0:01:14.304528,0:00:00.918986
lung-lobes_3,PRO-SPC,CC10,80,7309,0.225,0.375,0:01:36.567524,0:00:15.908694,0:01:13.485154,0:00:00.916995
lung-lobes_3,KI67,CD31,80,7573,0.362,0.5,0:01:36.145701,0:00:14.256109,0:01:13.993037,0:00:00.941514
lung-lobes_3,KI67,CC10,80,7309,0.15,0.3,0:01:35.982478,0:00:15.693016,0:01:12.628123,0:00:00.849923
lung-lobes_3,CD31,CC10,80,7309,0.237,0.362,0:01:35.938355,0:00:15.740940,0:01:12.525481,0:00:00.847615
COAD_09,S2,S5,72,10042,0.806,0.944,0:02:18.759380,0:00:30.201818,0:01:40.247941,0:00:01.135222
COAD_09,S2,S6,72,8031,0.444,0.556,0:01:57.371999,0:00:28.075687,0:01:21.398027,0:00:00.953436
COAD_09,S2,S1,72,7499,0.694,0.806,0:01:50.021432,0:00:26.405252,0:01:15.656570,0:00:00.914714
COAD_09,S5,S6,72,8031,0.403,0.556,0:01:56.647747,0:00:28.251505,0:01:20.167366,0:00:00.947139
COAD_09,S5,S1,72,7499,0.472,0.667,0:01:47.812428,0:00:25.070407,0:01:14.918780,0:00:00.872410
COAD_09,S6,S1,72,7499,0.333,0.486,0:01:48.193094,0:00:25.592049,0:01:15.082835,0:00:00.833403
COAD_07,S2,S5,68,11398,0.706,0.853,0:02:25.769835,0:00:27.817679,0:01:48.994542,0:00:01.266809
COAD_07,S2,S7,68,10817,0.353,0.5,0:02:28.029732,0:00:33.302356,0:01:46.168332,0:00:01.258907
COAD_07,S5,S7,68,10817,0.5,0.632,0:02:29.550303,0:00:34.769356,0:01:45.932257,0:00:01.186077
breast_3,HER2,HE,39,16797,0.0,0.0,0:03:42.338232,0:00:51.211778,0:02:41.124556,0:00:01.608123
breast_4,HER2,HE,27,11134,0.0,0.0,0:02:22.492250,0:00:27.069076,0:01:47.234126,0:00:00.989681
COAD_06,S5,S7,101,12693,0.505,0.703,0:02:50.421847,0:00:37.813836,0:02:02.228835,0:00:01.574169
COAD_06,S5,S2,101,13594,0.376,0.574,0:02:50.180381,0:00:29.235796,0:02:10.547150,0:00:01.709450
COAD_06,S7,S2,101,13594,0.594,0.743,0:02:50.859539,0:00:28.852098,0:02:11.563855,0:00:01.776136
COAD_01,S7,S1,61,9221,0.115,0.311,0:02:17.732397,0:00:39.247881,0:01:28.748841,0:00:01.007825
COAD_01,S7,S3,61,13270,0.279,0.459,0:02:56.161734,0:00:37.943752,0:02:08.087232,0:00:01.356925
COAD_01,S7,S6,61,11327,0.197,0.426,0:02:43.874769,0:00:46.455938,0:01:47.533441,0:00:01.274163
COAD_01,S1,S3,61,13270,0.033,0.147,0:02:54.285996,0:00:37.627172,0:02:07.626970,0:00:01.420084
COAD_01,S1,S6,61,11327,0.115,0.328,0:02:42.397863,0:00:46.622439,0:01:47.364890,0:00:01.170669
COAD_01,S3,S6,61,11327,0.147,0.344,0:02:45.864010,0:00:46.447658,0:01:50.171708,0:00:01.251641
gastric_4,CD68,CD4,150,23914,0.007,0.02,0:05:16.831239,0:01:06.686246,0:03:50.036938,0:00:03.945581
COAD_08,S7,S1,68,11353,0.559,0.75,0:02:42.122526,0:00:40.815126,0:01:50.088409,0:00:01.279530
COAD_08,S7,S3,68,12114,0.147,0.25,0:02:47.502604,0:00:41.119026,0:01:57.114306,0:00:01.324244
COAD_08,S7,S6,68,12317,0.662,0.706,0:02:56.491184,0:00:47.093729,0:02:00.151573,0:00:01.337987
COAD_08,S1,S3,68,12114,0.162,0.235,0:02:47.781893,0:00:41.057833,0:01:57.381447,0:00:01.333060
COAD_08,S1,S6,68,12317,0.515,0.662,0:02:55.809824,0:00:47.044121,0:01:59.371044,0:00:01.368086
COAD_08,S3,S6,68,12317,0.073,0.162,0:02:56.488527,0:00:46.968760,0:01:59.702981,0:00:01.341382
gastric_3,CD68,CD4,63,15190,0.0,0.016,0:03:18.860583,0:00:42.583554,0:02:25.606584,0:00:01.777389
gastric_5,CD4,CD68,79,14858,0.0,0.025,0:03:16.235689,0:00:41.047906,0:02:23.528052,0:00:01.754783
gastric_5,CD4,EBV,79,14454,0.279,0.38,0:03:08.948849,0:00:38.624722,0:02:19.360141,0:00:01.683990
gastric_5,CD68,EBV,79,14454,0.0,0.0,0:03:09.116654,0:00:38.382377,0:02:19.570025,0:00:01.702344
COAD_11,S5,S6,70,9564,0.157,0.371,0:02:12.081933,0:00:30.670812,0:01:32.948468,0:00:01.044162
COAD_11,S5,S1,70,9205,0.243,0.286,0:02:04.565934,0:00:26.576294,0:01:29.473635,0:00:01.424968
COAD_11,S5,S2,70,10510,0.129,0.214,0:02:21.469571,0:00:30.710452,0:01:42.358816,0:00:01.145363
COAD_11,S6,S1,70,9205,0.5,0.671,0:02:08.434464,0:00:26.465923,0:01:34.020578,0:00:01.070726
COAD_11,S6,S2,70,10510,0.2,0.386,0:02:20.704021,0:00:30.446846,0:01:41.659358,0:00:01.153423
COAD_11,S1,S2,70,10510,0.171,0.357,0:02:20.501142,0:00:29.947670,0:01:42.720085,0:00:01.120750
mammary-gland_1,NEU,HE,77,2178,0.857,0.948,0:00:32.959923,0:00:06.558264,0:00:22.320549,0:00:00.238582
mammary-gland_1,NEU,PR,77,2587,0.519,0.636,0:00:34.492686,0:00:05.934148,0:00:24.458868,0:00:00.309440
mammary-gland_1,NEU,ER,77,3434,0.805,0.896,0:00:39.852230,0:00:04.039566,0:00:31.625460,0:00:00.369765
mammary-gland_1,HE,PR,77,2587,0.623,0.779,0:00:34.420683,0:00:05.937372,0:00:24.435242,0:00:00.303829
mammary-gland_1,HE,ER,77,3434,0.701,0.948,0:00:39.679445,0:00:04.035274,0:00:31.507200,0:00:00.361496
mammary-gland_1,PR,ER,77,3434,0.416,0.597,0:00:39.633814,0:00:04.029583,0:00:31.497979,0:00:00.414910
lung-lesion_2,CC10,KI67,96,4892,0.062,0.188,0:00:58.846871,0:00:07.016540,0:00:46.427372,0:00:00.630424
lung-lesion_2,CC10,HE,96,5060,0.073,0.156,0:01:00.462723,0:00:07.536160,0:00:47.752347,0:00:00.649683
lung-lesion_2,CC10,PRO-SPC,96,4937,0.135,0.167,0:01:00.308387,0:00:08.405203,0:00:46.847008,0:00:00.618595
lung-lesion_2,KI67,HE,96,5060,0.042,0.156,0:01:00.784231,0:00:07.752773,0:00:47.948059,0:00:00.648722
lung-lesion_2,KI67,PRO-SPC,96,4937,0.135,0.26,0:01:01.110169,0:00:08.499506,0:00:47.313877,0:00:00.886930
lung-lesion_2,HE,PRO-SPC,96,4937,0.062,0.146,0:01:00.355445,0:00:08.506280,0:00:46.791875,0:00:00.637990
COAD_20,S5,S7,83,8355,0.048,0.072,0:02:00.598229,0:00:31.084295,0:01:21.035742,0:00:01.054786
COAD_20,S5,S2,83,8180,0.169,0.325,0:01:57.013833,0:00:27.640653,0:01:20.977918,0:00:00.976570
COAD_20,S7,S2,83,8180,0.0,0.0,0:01:58.993663,0:00:28.704942,0:01:22.147510,0:00:01.121922
COAD_19,S5,S1,124,10874,0.371,0.468,0:02:37.390416,0:00:37.991439,0:01:47.612548,0:00:01.540302
COAD_19,S5,S3,124,12877,0.476,0.613,0:02:50.178583,0:00:31.875193,0:02:06.421233,0:00:02.126703
COAD_19,S5,S8,124,14400,0.492,0.718,0:03:13.580507,0:00:43.752714,0:02:17.989316,0:00:02.299211
COAD_19,S5,S6,124,13855,0.581,0.71,0:02:59.691913,0:00:35.400931,0:02:12.718130,0:00:01.989625
COAD_19,S1,S3,124,12877,0.355,0.532,0:02:46.093755,0:00:31.031389,0:02:04.475845,0:00:02.029963
COAD_19,S1,S8,124,14400,0.202,0.411,0:03:12.495201,0:00:43.267245,0:02:17.777483,0:00:02.327756
COAD_19,S1,S6,124,13855,0.274,0.5,0:02:58.933558,0:00:35.100174,0:02:13.058292,0:00:01.951842
COAD_19,S3,S8,124,14400,0.315,0.468,0:03:12.660412,0:00:43.188931,0:02:17.517720,0:00:02.624328
COAD_19,S3,S6,124,13855,0.694,0.831,0:03:01.579719,0:00:35.790287,0:02:13.977175,0:00:02.605619
COAD_19,S8,S6,124,13855,0.573,0.734,0:03:00.545689,0:00:35.546468,0:02:12.783834,0:00:02.227561
COAD_18,S5,S7,103,3870,0.447,0.66,0:00:57.420101,0:00:13.058164,0:00:38.597300,0:00:00.535187
COAD_18,S5,S2,103,4220,0.272,0.447,0:00:59.018927,0:00:11.515450,0:00:41.774950,0:00:00.561253
COAD_18,S7,S2,103,4220,0.243,0.427,0:00:58.899028,0:00:11.638592,0:00:41.702331,0:00:00.553067
COAD_10,S7,S6,77,8618,0.338,0.493,0:02:04.051295,0:00:30.567750,0:01:24.176347,0:00:01.063765
COAD_10,S7,S1,77,10674,0.429,0.649,0:02:31.901389,0:00:39.402096,0:01:42.941153,0:00:01.338944
COAD_10,S7,S4,77,9945,0.325,0.429,0:02:13.521341,0:00:27.495758,0:01:36.516888,0:00:01.361960
COAD_10,S6,S1,77,10674,0.13,0.312,0:02:31.022912,0:00:39.544984,0:01:43.132879,0:00:01.399978
COAD_10,S6,S4,77,9945,0.26,0.351,0:02:11.871775,0:00:27.683939,0:01:36.028486,0:00:01.183450
COAD_10,S1,S4,77,9945,0.532,0.636,0:02:12.581103,0:00:27.686728,0:01:35.871995,0:00:01.314018
lung-lesion_3,KI67,CC10,80,10280,0.062,0.237,0:02:02.180456,0:00:18.207717,0:01:36.902752,0:00:01.420761
lung-lesion_3,KI67,PRO-SPC,80,10288,0.138,0.35,0:01:59.641722,0:00:16.819707,0:01:35.883747,0:00:01.393669
lung-lesion_3,KI67,HE,80,10376,0.05,0.138,0:02:00.635141,0:00:15.879122,0:01:37.449652,0:00:01.727095
lung-lesion_3,CC10,PRO-SPC,80,10288,0.163,0.275,0:01:59.205129,0:00:16.802751,0:01:35.492532,0:00:01.334413
lung-lesion_3,CC10,HE,80,10376,0.013,0.037,0:02:00.265051,0:00:15.951810,0:01:37.183741,0:00:01.531273
lung-lesion_3,PRO-SPC,HE,80,10376,0.013,0.087,0:02:00.363171,0:00:15.915078,0:01:37.398209,0:00:01.266095
COAD_17,S5,S6,139,7343,0.662,0.899,0:01:53.842355,0:00:33.161566,0:01:11.641300,0:00:01.207063
COAD_17,S5,S1,139,7032,0.374,0.619,0:01:49.402369,0:00:32.080047,0:01:08.714357,0:00:01.029580
COAD_17,S5,S2,139,8297,0.381,0.683,0:02:04.731925,0:00:34.794847,0:01:21.022747,0:00:01.194931
COAD_17,S6,S1,139,7032,0.647,0.806,0:01:50.342380,0:00:31.916740,0:01:09.613403,0:00:01.026987
COAD_17,S6,S2,139,8297,0.748,0.921,0:02:07.873046,0:00:36.797212,0:01:21.528566,0:00:01.260592
COAD_17,S1,S2,139,8297,0.863,0.957,0:02:05.058089,0:00:34.628287,0:01:20.867805,0:00:01.321617
COAD_03,S5,S2,72,8938,0.764,0.847,0:02:19.920120,0:00:43.865465,0:01:27.460748,0:00:01.269576
COAD_04,S2,S5,80,9431,0.6,0.8,0:02:10.693431,0:00:30.190302,0:01:31.411018,0:00:01.213831
lung-lobes_1,CD31,CC10,98,6167,0.225,0.51,0:01:19.709893,0:00:13.855509,0:00:58.598242,0:00:00.782855
lung-lobes_1,CD31,KI67,98,7763,0.082,0.245,0:01:26.970966,0:00:07.873478,0:01:11.803552,0:00:00.948263
lung-lobes_1,CD31,PRO-SPC,98,5961,0.337,0.592,0:01:16.541054,0:00:11.983463,0:00:57.582371,0:00:00.773334
lung-lobes_1,CC10,KI67,98,7763,0.041,0.214,0:01:26.430057,0:00:07.604053,0:01:11.808171,0:00:00.972410
lung-lobes_1,CC10,PRO-SPC,98,5961,0.418,0.612,0:01:15.666047,0:00:12.047848,0:00:57.056945,0:00:00.767241
lung-lobes_1,KI67,PRO-SPC,98,5961,0.122,0.276,0:01:16.567174,0:00:11.938798,0:00:57.752391,0:00:00.783710
COAD_02,S7,S3,64,8986,0.094,0.234,0:01:53.345016,0:00:19.843032,0:01:26.455303,0:00:01.022257
COAD_02,S7,S6,64,7942,0.594,0.766,0:01:52.565326,0:00:28.356187,0:01:17.477142,0:00:00.845149
COAD_02,S7,S2,64,7953,0.078,0.188,0:01:46.052193,0:00:21.856712,0:01:17.397069,0:00:01.003328
COAD_02,S3,S6,64,7942,0.359,0.609,0:01:53.032485,0:00:28.360496,0:01:17.589084,0:00:00.826073
COAD_02,S3,S2,64,7953,0.656,0.766,0:01:46.309394,0:00:21.726122,0:01:17.603603,0:00:01.011072
COAD_02,S6,S2,64,7953,0.078,0.25,0:01:46.703979,0:00:21.825397,0:01:17.871867,0:00:00.877870
COAD_05,S5-V1,S7,92,6330,0.663,0.859,0:01:33.169331,0:00:24.190757,0:01:01.924930,0:00:00.792220
COAD_05,S5-V1,S6,92,6425,0.511,0.783,0:01:33.203498,0:00:23.386838,0:01:02.886344,0:00:00.806029
COAD_05,S5-V1,S2,92,6480,0.902,0.957,0:01:30.682435,0:00:20.445031,0:01:03.383788,0:00:00.774104
COAD_05,S7,S6,92,6425,0.38,0.543,0:01:33.037248,0:00:23.207302,0:01:02.836430,0:00:00.791815
COAD_05,S7,S2,92,6480,0.554,0.739,0:01:30.189855,0:00:20.231631,0:01:03.063720,0:00:00.810769
COAD_05,S6,S2,92,6480,0.543,0.707,0:01:30.398899,0:00:20.214626,0:01:03.356887,0:00:00.766531
gastric_9,CD68,CD4,155,17598,0.348,0.49,0:04:00.173895,0:00:56.432032,0:02:49.133436,0:00:02.750821
mammary-gland_2,HE.129048254,PR.129048322,76,2530,0.447,0.645,0:00:38.030239,0:00:08.068283,0:00:25.556348,0:00:00.270167
mammary-gland_2,HE.129048254,ER.129048141,76,3210,0.329,0.592,0:00:37.036016,0:00:02.930970,0:00:29.748497,0:00:00.361915
mammary-gland_2,HE.129048254,HE,76,2872,0.724,0.803,0:00:39.667926,0:00:07.170618,0:00:28.244435,0:00:00.335682
mammary-gland_2,HE.129048254,ER,76,4782,0.579,0.724,0:00:57.061945,0:00:08.048102,0:00:44.381444,0:00:00.505100
mammary-gland_2,HE.129048254,PR,76,3210,0.592,0.776,0:00:39.854229,0:00:06.073576,0:00:29.450037,0:00:00.336031
mammary-gland_2,HE.129048254,NEU,76,3683,0.711,0.829,0:00:46.850685,0:00:06.318140,0:00:36.133546,0:00:00.411157
mammary-gland_2,PR.129048322,ER.129048141,76,3210,0.184,0.421,0:00:37.008574,0:00:03.028214,0:00:29.757317,0:00:00.377097
mammary-gland_2,PR.129048322,HE,76,2872,0.197,0.434,0:00:39.417219,0:00:07.207571,0:00:28.123722,0:00:00.305014
mammary-gland_2,PR.129048322,ER,76,4782,0.382,0.526,0:00:56.955257,0:00:07.995673,0:00:44.498488,0:00:00.539508
mammary-gland_2,PR.129048322,PR,76,3210,0.5,0.75,0:00:39.603494,0:00:06.073516,0:00:29.407274,0:00:00.372635
mammary-gland_2,PR.129048322,NEU,76,3683,0.368,0.526,0:00:46.823367,0:00:06.404966,0:00:36.046857,0:00:00.414983
mammary-gland_2,ER.129048141,HE,76,2872,0.342,0.539,0:00:39.396789,0:00:07.120845,0:00:28.114233,0:00:00.308148
mammary-gland_2,ER.129048141,ER,76,4782,0.618,0.868,0:00:56.881587,0:00:08.035160,0:00:44.384254,0:00:00.562807
mammary-gland_2,ER.129048141,PR,76,3210,0.342,0.553,0:00:39.949243,0:00:06.084665,0:00:29.764920,0:00:00.376028
mammary-gland_2,ER.129048141,NEU,76,3683,0.461,0.684,0:00:46.622455,0:00:06.219700,0:00:36.252605,0:00:00.399047
mammary-gland_2,HE,ER,76,4782,0.329,0.421,0:00:56.929884,0:00:07.970919,0:00:44.447192,0:00:00.560155
mammary-gland_2,HE,PR,76,3210,0.447,0.724,0:00:39.579341,0:00:06.081084,0:00:29.308501,0:00:00.366184
mammary-gland_2,HE,NEU,76,3683,0.579,0.737,0:00:46.639013,0:00:06.407234,0:00:35.955964,0:00:00.459959
mammary-gland_2,ER,PR,76,3210,0.421,0.592,0:00:40.705816,0:00:06.027170,0:00:29.995760,0:00:00.511479
mammary-gland_2,ER,NEU,76,3683,0.789,0.895,0:00:46.917898,0:00:06.293323,0:00:36.155573,0:00:00.440615
mammary-gland_2,PR,NEU,76,3683,0.303,0.474,0:00:46.600990,0:00:06.373775,0:00:36.187572,0:00:00.381508
gastric_6,CD68,CD4,115,11934,0.435,0.591,0:02:44.546644,0:00:37.650930,0:01:55.772468,0:00:02.064015
gastric_6,CD68,EBV,115,12268,0.313,0.374,0:02:45.781475,0:00:36.067776,0:01:58.762745,0:00:01.886367
gastric_6,CD4,EBV,115,12268,0.513,0.643,0:02:47.791434,0:00:36.333435,0:02:00.304750,0:00:01.901043
gastric_8,CD4,CD8,53,11671,0.189,0.283,0:02:45.148877,0:00:41.288021,0:01:53.983825,0:00:01.500060
gastric_1,CD68,CD4,79,7645,0.253,0.38,0:01:45.819045,0:00:22.548493,0:01:15.365606,0:00:01.252744
kidney_4,MAS,PAS,33,2645,0.485,0.758,0:00:51.574182,0:00:19.828327,0:00:26.763669,0:00:00.252280
breast_5,HER2,HE,8,13040,0.0,0.0,0:02:58.842693,0:00:44.035230,0:02:06.376741,0:00:01.433005
gastric_7,CD68,CD4,61,24960,0.295,0.475,0:05:17.082202,0:01:02.014917,0:03:58.853039,0:00:03.513768
COAD_16,S5,S6,130,12086,0.777,0.885,0:02:51.899036,0:00:38.994956,0:01:57.855088,0:00:01.993844
breast_1,HER2,HE,80,18374,0.0,0.025,0:04:07.665311,0:00:54.134432,0:02:58.951837,0:00:02.630917
gastric_2,CD68,CD4,83,8438,0.048,0.072,0:02:03.476777,0:00:32.800396,0:01:21.715055,0:00:01.397091
COAD_14,S5,S3,116,15949,0.086,0.172,0:03:27.982485,0:00:41.531763,0:02:34.032002,0:00:02.583853
kidney_3,PAS,MAS,80,2839,0.225,0.425,0:00:49.823135,0:00:15.851451,0:00:28.410511,0:00:00.378823
lung-lobes_2,PRO-SPC,CD31,107,11205,0.682,0.813,0:02:11.973161,0:00:11.327019,0:01:46.130921,0:00:00.930672
lung-lobes_2,CC10,CD31,107,11205,0.467,0.654,0:02:02.342724,0:00:11.048885,0:01:43.815434,0:00:00.794123
lung-lobes_2,KI67,CD31,107,11205,0.252,0.449,0:02:03.590461,0:00:10.878675,0:01:43.908348,0:00:00.791214
lung-lobes_2,CC10,PRO-SPC,107,8562,0.645,0.738,0:01:43.581119,0:00:15.995260,0:01:20.552162,0:00:00.611124
lung-lobes_2,KI67,PRO-SPC,107,8562,0.159,0.364,0:01:44.425735,0:00:15.895813,0:01:20.756094,0:00:00.612574
lung-lobes_2,KI67,CC10,107,8461,0.121,0.243,0:01:42.905646,0:00:16.360899,0:01:18.893659,0:00:00.617315
kidney_2,PAS,MAS,15,4629,0.267,0.4,0:01:09.102890,0:00:19.073688,0:00:45.281395,0:00:00.220609
kidney_5,PAS,MAS,48,2635,0.146,0.375,0:00:45.893368,0:00:12.229575,0:00:25.983197,0:00:00.145123
kidney_1,PAS,MAS,13,5617,0.308,0.385,0:01:24.077466,0:00:24.749177,0:00:53.553630,0:00:00.267998
mice-kidney_1,SMA,CD31,131,5962,0.008,0.03,0:01:19.023766,0:00:15.220696,0:00:57.224941,0:00:00.467078
mice-kidney_1,PAS,CD31,131,5962,0.015,0.046,0:01:19.588398,0:00:15.376641,0:00:56.878874,0:00:00.457468
mice-kidney_1,CD31.129057244,CD31,131,5962,0.076,0.191,0:01:20.378422,0:00:15.342831,0:00:57.568138,0:00:00.457577
mice-kidney_1,PAS.129057758,CD31,131,5962,0.015,0.069,0:01:19.570994,0:00:15.540080,0:00:57.310242,0:00:00.455151
mice-kidney_1,PAS.129057595,CD31,131,5962,0.023,0.099,0:01:19.246792,0:00:15.300149,0:00:57.501696,0:00:00.459034
mice-kidney_1,PAS,SMA,131,6011,0.008,0.03,0:01:19.632603,0:00:14.717077,0:00:57.651735,0:00:00.465165
mice-kidney_1,CD31.129057244,SMA,131,6011,0.0,0.0,0:01:19.871534,0:00:14.754141,0:00:57.709789,0:00:00.474210
mice-kidney_1,PAS.129057758,SMA,131,6011,0.0,0.023,0:01:23.938877,0:00:14.797484,0:00:58.236758,0:00:00.447999
mice-kidney_1,PAS.129057595,SMA,131,6011,0.0,0.015,0:01:18.903557,0:00:14.701650,0:00:57.574489,0:00:00.468962
mice-kidney_1,CD31.129057244,PAS,131,6210,0.015,0.061,0:01:28.737978,0:00:22.281630,0:00:59.159897,0:00:00.466487
mice-kidney_1,PAS.129057758,PAS,131,6210,0.336,0.443,0:01:28.336281,0:00:22.216571,0:00:59.562756,0:00:00.464715
mice-kidney_1,PAS.129057595,PAS,131,6210,0.107,0.183,0:01:27.664135,0:00:22.160822,0:00:59.139407,0:00:00.486500
mice-kidney_1,PAS.129057758,CD31.129057244,131,6038,0.076,0.153,0:01:27.795317,0:00:23.687834,0:00:57.662890,0:00:00.469434
